source,target,edge_type,weight
user_4295,user_9760,social,1.0
user_4295,user_13772,social,1.0
user_11867,user_42866,social,1.0
user_11867,user_170930,social,1.0
user_11867,user_172975,social,1.0
user_11867,user_201426,social,1.0
user_11867,user_242843,social,1.0
user_11867,user_247123,social,1.0
user_42866,user_170930,social,1.0
user_42866,user_172975,social,1.0
user_42866,user_201426,social,1.0
user_42866,user_242843,social,1.0
user_42866,user_247123,social,1.0
user_170930,user_172975,social,1.0
user_170930,user_201426,social,1.0
user_170930,user_242843,social,1.0
user_170930,user_247123,social,1.0
user_172975,user_201426,social,1.0
user_172975,user_242843,social,1.0
user_172975,user_247123,social,1.0
user_201426,user_242843,social,1.0
user_201426,user_247123,social,1.0
user_242843,user_247123,social,1.0
user_4295,user_181853,social,1.0
user_9760,user_51500,social,1.0
user_397186,user_410420,social,1.0
user_74011,user_74200,social,1.0
user_74011,user_74420,social,1.0
user_74200,user_74420,social,1.0
user_9760,user_14945,social,1.0
user_9760,user_64997,social,1.0
user_14945,user_51500,social,1.0
user_14945,user_64997,social,1.0
user_51500,user_64997,social,1.0
user_11867,user_208683,social,1.0
user_11867,user_246476,social,1.0
user_42866,user_208683,social,1.0
user_42866,user_246476,social,1.0
user_172975,user_208683,social,1.0
user_172975,user_246476,social,1.0
user_208683,user_246476,social,1.0
user_4295,user_22954,social,1.0
user_4295,user_27408,social,1.0
user_22954,user_27408,social,1.0
user_20775,user_172975,social,1.0
user_11867,user_20775,social,1.0
user_20775,user_201426,social,1.0
user_20775,user_247123,social,1.0
user_204324,user_235238,social,1.0
user_4295,user_129825,social,1.0
user_4295,user_194084,social,1.0
user_113498,user_113534,social,1.0
user_4324,user_355620,social,1.0
user_169237,user_391585,social,1.0
user_170638,user_170810,social,1.0
user_170638,user_170930,social,1.0
user_170810,user_170930,social,1.0
user_446971,user_446987,social,1.0
user_543246,video_46KwY26PeOs,watch,0.1
user_543246,video_tP214lJtKlM,watch,0.1
user_543246,video_9POblaMln4Q,watch,0.1
user_543246,video_4L-BPQVZYXM,watch,0.1
user_543246,video_YML2DM0K8DQ,watch,0.1
user_543246,video_8pffcngJJq0,watch,0.1
user_134091,video_JANApS0P4z8,watch,0.1
user_134091,video_HhGJBBPVpqQ,watch,0.1
user_134091,video_Kf2-86o5S1o,watch,0.1
user_134091,video__YSVbM1saXM,watch,0.1
user_134091,video_fJe0cmOvM94,watch,0.1
user_577292,video_VH-DA0YgHHU,watch,0.1
user_577292,video_gAcvbGuqG0Q,watch,0.1
user_577292,video_iNT-tPrz4OM,watch,0.1
user_577292,video_u7KZrt_cHH0,watch,0.1
user_577292,video_V5cOvyDpWfM,watch,0.1
user_577292,video_7uvxjNut1gk,watch,0.1
user_577292,video_4HX6R88QZB0,watch,0.1
user_577292,video_er2kQ21ZTG0,watch,0.1
user_438558,video_fNVUTgd4pio,watch,0.1
user_438558,video_YML2DM0K8DQ,watch,0.1
user_438558,video__odvYvbW9VM,watch,0.1
user_438558,video_ife5Zij94_E,watch,0.1
user_438558,video_Xpv-sEKl1B4,watch,0.1
user_438558,video_aEM2kOrrNJI,watch,0.1
user_438558,video_JlcJaCS4BPM,watch,0.1
user_438558,video_t1shnJT8NCY,watch,0.1
user_40404,video_X9Qh8vsSE-c,watch,0.1
user_40404,video_6j-s9E3dRQ0,watch,0.1
user_40404,video_7uvxjNut1gk,watch,0.1
user_40404,video_REbjfHF0N0s,watch,0.1
user_40404,video_NukmFF__G-g,watch,0.1
user_40404,video_D2mxKEa2xmA,watch,0.1
user_40404,video_fzmM0AB60QQ,watch,0.1
user_40404,video_e5IRkF20JmU,watch,0.1
user_22954,video_ZcCp7488puc,watch,0.1
user_22954,video_V_jU_ssWvc4,watch,0.1
user_22954,video_NukmFF__G-g,watch,0.1
user_22954,video_1purAy2MsOc,watch,0.1
user_22954,video_1qKBNKtzTWg,watch,0.1
user_410420,video_6EHbZKLkeMg,watch,0.1
user_410420,video_af6L1jBZGYA,watch,0.1
user_410420,video_WCKG9J1d5iE,watch,0.1
user_410420,video_nZM9Ko806Bg,watch,0.1
user_410420,video_kA66nAvEEII,watch,0.1
